City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,mabaruma,8.2,-59.7833,22.03,96,37,1.57,GY,1675731053
432,pandharpur,17.6667,75.3333,21.12,34,42,3.84,IN,1675731054
433,zhigansk,66.7697,123.3711,-48.32,100,71,1.35,RU,1675731054
434,oriximina,-1.7656,-55.8661,23.57,93,82,1.69,BR,1675731054
435,pilar,-9.5972,-35.9567,22.96,83,100,2.29,BR,1675731034
436,kabo,7.6994,18.629,23.09,16,5,2.2,CF,1675731055
437,le port,-20.9373,55.2919,25.0,77,24,2.88,RE,1675731055
438,sitka,57.0531,-135.33,3.94,81,75,2.57,US,1675731055
439,madang,-5.2246,145.7966,27.45,79,100,2.26,PG,1675731056
440,iqaluit,63.7506,-68.5145,-33.15,68,20,3.6,CA,1675731056
441,svetlogorsk,52.6333,29.7333,-3.15,97,100,2.33,BY,1675731056
442,port alberni,49.2413,-124.8028,9.4,92,100,4.47,CA,1675730781
443,innisfail,-17.5333,146.0333,29.79,71,100,4.18,AU,1675731057
444,pitimbu,-7.4706,-34.8086,25.33,69,60,4.4,BR,1675731057
445,doha,25.2867,51.5333,19.99,88,0,5.14,QA,1675731057
446,poopo,-18.3667,-66.9667,9.43,62,99,1.97,BO,1675731058
447,mus,39.0,41.75,-4.01,99,100,1.61,TR,1675731058
448,alice springs,-23.7,133.8833,31.23,40,1,3.09,AU,1675731058
449,nuuk,64.1835,-51.7216,-14.51,92,99,1.79,GL,1675731058
450,kotelnich,58.3089,48.348,-24.51,100,100,0.94,RU,1675731059
451,san cristobal,7.7669,-72.225,23.1,76,13,0.68,VE,1675731059
452,edd,13.9297,41.6925,26.97,44,48,4.44,ER,1675731060
453,cabedelo,-6.9811,-34.8339,25.37,66,97,5.14,BR,1675731060
454,sosnovo-ozerskoye,52.5249,111.5418,-22.16,99,92,2.75,RU,1675731060
455,karaman,37.0833,33.25,-5.02,96,100,10.79,TR,1675731060
456,thinadhoo,0.5333,72.9333,27.28,72,100,4.62,MV,1675731061
457,wajima,37.4,136.9,5.38,81,75,1.03,JP,1675731061
458,dicabisagan,17.0818,122.4157,26.24,80,46,1.7,PH,1675731062
459,snezhnogorsk,69.1933,33.2531,-1.12,87,100,10.47,RU,1675731062
460,hay river,60.8156,-115.7999,-16.01,85,100,3.6,CA,1675731063
461,tiznit,29.5833,-9.5,9.02,69,6,0.5,MA,1675731064
462,mizdah,31.4451,12.9801,6.35,74,52,3.88,LY,1675731064
463,sao felix do xingu,-6.6447,-51.995,22.4,96,50,0.52,BR,1675731065
464,timmins,48.4669,-81.3331,-8.1,73,75,5.14,CA,1675730793
465,lavumisa,-27.31,31.892,20.49,97,20,1.34,SZ,1675731066
466,pichayevo,53.2363,42.2032,-14.94,96,14,3.05,RU,1675731066
467,luorong,24.4058,109.6086,13.42,91,100,2.35,CN,1675731067
468,sakaiminato,35.55,133.2333,7.99,71,75,0.51,JP,1675731067
469,vangaindrano,-23.35,47.6,22.23,94,100,0.85,MG,1675731068
470,coquimbo,-29.9533,-71.3436,17.85,88,100,3.09,CL,1675730596
471,yakeshi,49.2833,120.7333,-22.85,99,100,1.11,CN,1675731068
472,kysyl-syr,63.8986,122.7617,-41.11,100,98,0.44,RU,1675731069
